Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Lost Woods Hardstyle","DJ Zenit","Lost Woods Hardstyle","Favoritas","Playlist","TCABR1374616","2wEOkYyaXOMp1ZMA0Oa6ln"
"Requiem for a Dream","Jennifer Thomas","Illumination","Favoritas","Playlist","ushm21244619","1UQshomMs9KUJIIC7SKEWl"
"Bangarang (feat. Sirah)","Skrillex","Bangarang EP","Favoritas","Playlist","USAT21104243","6VRhkROS2SZHGlp0pxndbJ"
"Battle Cry","Imagine Dragons","Smoke + Mirrors (Deluxe)","Favoritas","Playlist","USUM71406333","6SCDzH7OCgpzwCP8yo7HIP"
"Slither","Velvet Revolver","Contraband","Favoritas","Playlist","USRC10400063","7kF1iPJTj3VFJX9XokQ80F"
"Hands Off the Wheel","Oleander","Joyride","Favoritas","Playlist","GBAJE0300008","7JIUlk5CkQAh0qiLYRL5kD"
"Shots Fired","Le Castle Vania","John Wick (Original Motion Picture Soundtrack)","Favoritas","Playlist","US3M51430918","5hxMK9b3lDs5Ah9SU0k0fC"
"Avalancha","Heroes Del Silencio","Avalancha","Favoritas","Playlist","ES5089603089","2QWiLP3WiFMtmJ08nUTWUC"
"Crypteque","Danny Baranowsky","Crypt of the Necrodancer (Original Game Soundtrack)","Favoritas","Playlist","USQY51560136","0wydxbEaB3KSKJstJVhTG5"
"Main Titles","Ramin Djawadi","Game of Thrones (Music from the HBO® Series - Season 6)","Favoritas","Playlist","USNLR1600336","4cKmnSLAhwxaWKXQhfz5Ju"
"The Battle of Lil' Slugger (Ch 1 Boss)","Danny Baranowsky","Super Meat Boy! - Official Special Edition Soundtrack","Favoritas","Playlist","TCABD1110282","7D07YUQSSUsT88l6NzcTfk"
"She - BBC Live Session","Green Day","BBC Sessions (Live)","Favoritas","Playlist","GBCAD2100220","0bP9Pe1sv6ecMnzlDWNpZw"
"This Is Gonna Hurt","Sixx:A.M.","This Is Gonna Hurt","Favoritas","Playlist","USDPK1186002","4VYHaLVaCspuhjHEmfXtL3"
"Never Dance Again","Sunset Neon","Starlight (Deluxe Edition)","Favoritas","Playlist","US6R21394289","61o43SEnbo1ZEfPMXez75m"
"Gott Sein - Version 2004","Megaherz","5","Favoritas","Playlist","DECF20400004","0FIPUXcpw3jEIziZ1fR0j6"
"Atmosphere","Kaskade","Atmosphere","Favoritas","Playlist","USUS11201442","79BziE0cPQD2MZBJwXsB1P"
"By the Way","Red Hot Chili Peppers","By the Way (Deluxe Edition)","Favoritas","Playlist","USWB10201688","1f2V8U1BiWaC9aJWmpOARe"
"Redline - Radio Edit","Wolfgang Gartner","Redline (Radio Edit)","Favoritas","Playlist","USUS11200223","01lGpydeYFOsbUph6FGRge"
"Super Bon Bon","Soul Coughing","Irresistible Bliss","Favoritas","Playlist","GBANC9600001","1njobA8NxcOtPIbLdrip0T"
"Hey Man Nice Shot","Filter","Short Bus (Expanded Edition)","Favoritas","Playlist","USRE19900522","5pQEExRHWM9XnghO6bhdLJ"
"Amsterdam - Extended Mix","Orjan Nilsen","Amsterdam","Favoritas","Playlist","NLF711202915","5oyNDmNhqh8NP8Y064APEx"
"Elevation (Tomb Raider Mix)","KnightsBridge","Popular Pop Rock Tunes","Favoritas","Playlist","CAM460409253","09WtC1kK5I9r6BKkSqayPR"
"Burn","The Cure","The Crow Original Motion Picture Soundtrack","Favoritas","Playlist","USAT20180654","0tHOTQBn2M4CD2dcyHivth"
